#{"t_start": 1629010397.231436, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
3.0,215,4.683239
0.0,129,5.466189
1.0,173,6.567032
0.0,125,7.348638
0.0,127,8.142101
0.0,127,8.973906
1.0,178,10.071041
6.0,382,12.632353
2.0,222,13.994794
0.0,123,14.781329
3.0,247,16.406273
0.0,125,17.385105
1.0,155,18.548318
1.0,177,19.897114
0.0,127,20.751125
1.0,173,21.915502
0.0,127,22.69634
0.0,125,23.477269
3.0,230,25.028259
5.0,347,27.402892
1.0,153,28.405842
0.0,129,29.239733
2.0,222,30.674896
2.0,204,31.986032
0.0,127,32.842204
3.0,252,34.48697
1.0,155,35.495176
7.0,321,37.59954
1.0,153,38.597465
2.0,204,39.949185
4.0,299,41.956278
0.0,125,42.741684
3.0,252,44.432557
0.0,125,45.223939
0.0,127,46.014376
2.0,224,47.542796
0.0,127,48.338217
1.0,156,49.322941
4.0,301,51.299021
2.0,200,52.622903
0.0,129,53.459243
5.0,350,55.850574
2.0,185,57.051224
0.0,123,57.842296
1.0,174,58.966105
1.0,155,59.956588
3.0,216,61.366895
2.0,206,62.678702
1.0,175,63.863363
0.0,129,64.667857
0.0,127,65.483986
0.0,129,66.318775
3.0,250,67.98656
0.0,127,68.792938
0.0,125,69.590968
0.0,127,70.413686
0.0,123,71.195425
0.0,129,72.030078
3.0,238,73.621743
1.0,155,74.59982
2.0,224,76.047207
1.0,157,77.069441
1.0,175,78.197835
1.0,175,79.336442
0.0,129,80.176633
1.0,155,81.175575
0.0,127,81.938179
0.0,127,82.741312
3.0,250,84.347234
3.0,250,86.004994
0.0,127,86.802477
0.0,127,87.604566
1.0,157,88.651882
1.0,173,89.763816
4.0,279,91.624194
0.0,127,92.401031
0.0,127,93.196443
3.0,272,94.993257
0.0,129,95.842245
0.0,127,96.667213
1.0,176,97.799616
3.0,248,99.427679
0.0,129,100.240825
3.0,251,101.860614
0.0,127,102.688898
3.0,250,104.367764
3.0,251,106.086719
2.0,202,107.366605
0.0,125,108.149295
2.0,202,109.450863
3.0,252,111.086719
6.0,380,113.6207
0.0,129,114.422068
1.0,157,115.42468
0.0,127,116.208712
0.0,129,117.033422
0.0,129,117.829832
3.0,248,119.470617
1.0,159,120.449285
2.0,202,121.71612
2.0,227,123.221868
0.0,127,124.029955
0.0,125,124.787512
1.0,169,125.89602
0.0,127,126.678158
0.0,127,127.504862
0.0,125,128.307343
1.0,173,129.42706
2.0,202,130.736638
1.0,171,131.825195
0.0,129,132.640323
3.0,250,134.262541
0.0,127,135.063213
4.0,278,136.920687
0.0,125,137.710531
4.0,299,139.700927
0.0,125,140.504129
5.0,350,142.85536
0.0,125,143.655668
5.0,347,146.001599
1.0,173,147.115438
2.0,202,148.437556
0.0,129,149.250168
2.0,200,150.600029
0.0,125,151.397023
2.0,202,152.644496
1.0,173,153.770118
2.0,208,155.157676
1.0,171,156.294662
0.0,129,157.13353
1.0,155,158.097751
0.0,125,158.867086
1.0,157,159.8643
2.0,200,161.147365
0.0,129,162.008085
0.0,129,162.82444
4.0,287,164.737661
0.0,127,165.544402
3.0,269,167.327704
0.0,127,168.142416
0.0,129,168.947796
0.0,129,169.71306
0.0,129,170.519948
0.0,127,171.306173
0.0,127,172.123798
1.0,173,173.226212
0.0,129,174.022469
1.0,173,175.15059
4.0,298,177.119248
2.0,183,178.301165
0.0,129,179.138561
2.0,204,180.412458
1.0,177,181.562488
2.0,184,182.788049
1.0,173,183.8962
1.0,175,185.014081
3.0,272,186.833393
3.0,248,188.506143
0.0,129,189.304242
1.0,173,190.446181
1.0,175,191.568064
1.0,173,192.704368
2.0,202,194.012628
6.0,399,196.71327
4.0,274,198.510858
0.0,129,199.302275
3.0,252,200.962232
0.0,127,201.763959
4.0,323,203.879758
4.0,299,205.840014
1.0,173,206.967843
2.0,223,208.418765
0.0,125,209.208538
4.0,297,211.219709
2.0,183,212.463044
0.0,129,213.24852
1.0,173,214.359712
3.0,250,215.961146
3.0,248,217.539253
0.0,127,218.379642
3.0,230,219.877888
4.0,321,221.927447
0.0,127,222.697321
0.0,129,223.527265
2.0,200,224.856402
2.0,200,226.187694
2.0,198,227.484974
4.0,297,229.444224
0.0,127,230.244631
0.0,127,231.090447
0.0,125,231.851471
2.0,200,233.186919
2.0,201,234.478328
0.0,127,235.245182
1.0,173,236.390495
4.0,297,238.34696
0.0,127,239.16315
0.0,129,239.949367
0.0,129,240.740979
0.0,127,241.550342
0.0,129,242.354182
9.0,401,245.043842
1.0,175,246.183673
0.0,125,246.93033
0.0,125,247.727934
0.0,129,248.541772
0.0,127,249.35748
1.0,173,250.454792
2.0,200,251.775529
0.0,127,252.585954
0.0,127,253.374321
0.0,127,254.153137
1.0,153,255.106541
4.0,280,256.976888
2.0,200,258.256022
1.0,157,259.287646
2.0,223,260.754469
5.0,350,263.129038
7.0,447,266.123671
1.0,173,267.227681
1.0,155,268.262104
3.0,255,269.939983
2.0,202,271.278172
3.0,251,272.959454
0.0,127,273.798786
4.0,301,275.80018
1.0,155,276.789547
0.0,123,277.582926
4.0,301,279.589795
1.0,174,280.706627
8.0,352,283.057266
1.0,175,284.187852
2.0,222,285.676222
2.0,204,286.964403
1.0,160,288.00803
0.0,127,288.795108
3.0,231,290.303318
4.0,260,292.066445
0.0,129,292.874174
2.0,183,294.081572
0.0,127,294.904118
2.0,224,296.393484
1.0,157,297.386635
2.0,226,298.854345
4.0,246,300.464319
2.0,181,301.619041
1.0,153,302.60811
1.0,177,303.776972
2.0,185,304.965297
0.0,127,305.774956
0.0,127,306.56035
3.0,230,308.076182
2.0,199,309.342284
0.0,129,310.161009
0.0,127,310.977443
1.0,173,312.112504
0.0,125,312.903359
1.0,155,313.952607
0.0,127,314.726578
0.0,127,315.505491
0.0,127,316.335384
3.0,252,318.045531
2.0,202,319.391601
8.0,354,321.784022
0.0,129,322.612448
3.0,218,324.056636
0.0,129,324.939166
0.0,129,325.713842
1.0,174,326.831788
0.0,125,327.622162
2.0,199,328.925862
1.0,155,329.910983
2.0,225,331.433394
1.0,173,332.575692
1.0,157,333.603058
2.0,187,334.822828
1.0,157,335.850235
0.0,127,336.691846
0.0,127,337.459303
1.0,155,338.453942
1.0,155,339.473542
4.0,302,341.468073
0.0,127,342.250653
4.0,301,344.239147
1.0,155,345.200169
4.0,297,347.189874
5.0,315,349.310205
1.0,157,350.326212
5.0,372,352.854369
4.0,299,354.867857
4.0,299,356.860586
0.0,127,357.683627
4.0,267,359.437536
0.0,129,360.234802
1.0,173,361.353804
1.0,171,362.454207
0.0,127,363.207606
0.0,125,364.020938
3.0,271,365.804327
4.0,278,367.695646
2.0,202,369.009268
1.0,173,370.154365
0.0,129,370.958429
1.0,155,371.934303
0.0,127,372.732997
2.0,188,373.975556
1.0,153,374.967529
1.0,172,376.08849
0.0,125,376.874751
0.0,129,377.683279
3.0,230,379.199743
10.0,393,381.864874
3.0,249,383.542509
1.0,155,384.506023
8.0,351,386.89216
2.0,221,388.375363
2.0,202,389.703789
0.0,127,390.496705
1.0,155,391.48943
0.0,129,392.326301
0.0,129,393.161832
1.0,173,394.275047
0.0,125,395.046283
0.0,127,395.857211
2.0,198,397.174505
4.0,314,399.168221
4.0,278,401.004966
2.0,198,402.300377
3.0,267,404.05963
0.0,127,404.85073
0.0,123,405.63844
0.0,127,406.440623
0.0,129,407.235422
3.0,253,408.928936
2.0,200,410.192184
0.0,127,410.997529
5.0,350,413.301522
0.0,129,414.101495
8.0,352,416.496855
9.0,419,419.231214
0.0,125,420.027446
0.0,127,420.873487
0.0,125,421.631293
2.0,202,422.886716
2.0,202,424.192986
5.0,329,426.360087
2.0,200,427.693481
