#{"t_start": 1629249967.9970212, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,125,2.258261
0.0,127,3.077587
2.0,202,4.387231
0.0,127,5.202261
0.0,129,6.037065
4.0,299,8.11191
4.0,321,10.293446
0.0,127,11.150873
0.0,125,11.942436
1.0,173,13.076993
2.0,223,14.658726
0.0,125,15.499121
0.0,127,16.374349
2.0,224,17.857266
4.0,244,19.621206
0.0,129,20.4684
3.0,250,22.204063
0.0,129,23.040636
1.0,173,24.33274
0.0,127,25.217503
0.0,123,26.039746
1.0,172,27.198233
1.0,153,28.281413
1.0,157,29.533891
2.0,203,30.959824
1.0,178,32.27357
1.0,171,33.574924
1.0,176,34.86047
0.0,129,35.771035
2.0,220,37.461215
2.0,199,39.056598
1.0,173,40.300112
2.0,204,41.828786
3.0,246,43.609575
3.0,233,45.65419
1.0,176,47.233366
0.0,129,48.301407
0.0,129,49.47038
2.0,228,51.09013
0.0,125,51.97869
5.0,327,54.304622
0.0,127,55.412112
2.0,204,57.090478
1.0,173,58.469118
1.0,175,59.759818
1.0,155,60.928243
2.0,205,62.61005
3.0,274,64.56587
2.0,200,66.073372
3.0,272,68.077866
1.0,155,69.128827
2.0,201,70.563947
1.0,175,71.797563
2.0,183,73.03614
1.0,156,74.154881
0.0,123,74.973442
0.0,129,75.85833
0.0,125,76.70749
3.0,272,78.633926
2.0,221,80.206206
2.0,204,81.58438
0.0,129,82.454626
1.0,153,83.497481
2.0,222,85.043717
0.0,127,85.91045
0.0,127,86.734466
2.0,219,88.321321
2.0,222,89.910036
0.0,127,90.76949
2.0,198,92.083086
1.0,175,93.302774
0.0,127,94.235168
1.0,174,95.553207
1.0,171,96.806343
1.0,155,97.890618
5.0,347,100.688713
0.0,129,101.679927
1.0,171,103.017771
0.0,127,104.056998
0.0,125,105.14396
0.0,129,106.171821
2.0,200,107.795933
1.0,175,109.209916
0.0,127,110.12203
5.0,352,112.84821
1.0,155,114.011778
0.0,127,114.931804
2.0,187,116.435529
3.0,252,118.561962
0.0,129,119.623823
1.0,157,120.963017
1.0,173,122.307527
1.0,155,123.440975
2.0,200,124.830074
1.0,173,126.072432
0.0,127,126.980922
0.0,125,127.785262
4.0,301,129.979434
0.0,127,130.845181
4.0,298,132.964978
1.0,173,134.159438
0.0,125,135.029547
2.0,222,136.646137
3.0,272,138.56911
1.0,173,139.757972
2.0,202,141.169141
0.0,127,142.072835
0.0,127,142.971721
2.0,188,144.380905
0.0,129,145.326535
0.0,129,146.244013
0.0,127,147.148558
0.0,127,148.05739
5.0,350,150.559173
0.0,129,151.429275
0.0,127,152.254933
0.0,125,153.093482
1.0,157,154.183205
1.0,173,155.353478
1.0,157,156.445365
1.0,157,157.528865
2.0,203,158.987053
0.0,125,159.921404
1.0,157,161.041448
3.0,252,162.792424
2.0,181,163.984984
0.0,127,164.852867
1.0,155,165.940919
1.0,173,167.130619
0.0,129,168.034123
0.0,129,168.885535
7.0,325,171.214736
0.0,129,172.135398
2.0,223,173.647312
3.0,266,175.502312
0.0,125,176.336257
4.0,300,178.500083
2.0,218,180.012577
2.0,204,181.47406
0.0,127,182.34419
0.0,123,183.230733
0.0,125,184.079289
1.0,172,185.25721
0.0,129,186.152855
3.0,259,188.078182
0.0,129,188.975797
0.0,127,189.874048
1.0,155,190.945893
0.0,129,191.865054
0.0,129,192.729737
4.0,299,194.900647
1.0,157,196.032342
0.0,129,196.912656
3.0,220,198.434894
3.0,250,200.183435
0.0,127,201.082759
2.0,201,202.477995
1.0,157,203.629099
0.0,127,204.542705
1.0,155,205.632243
3.0,230,207.254239
1.0,172,208.541378
2.0,200,210.017607
2.0,225,211.738388
1.0,155,212.875665
0.0,129,213.791856
1.0,173,215.048906
0.0,129,215.962195
0.0,129,216.870599
2.0,198,218.230498
0.0,129,219.155736
0.0,127,220.068861
0.0,125,220.959778
0.0,129,221.869853
0.0,123,222.68491
0.0,127,223.585723
1.0,173,224.874282
1.0,178,226.221671
1.0,155,227.349093
1.0,175,228.673897
0.0,129,229.599844
1.0,175,230.82061
1.0,157,231.893885
0.0,129,232.857187
1.0,175,234.183177
0.0,127,235.067645
0.0,127,236.045187
2.0,184,237.704797
4.0,298,240.391856
2.0,203,241.983351
3.0,250,244.06401
1.0,172,245.410797
4.0,291,247.643769
1.0,174,248.86801
1.0,175,250.178838
0.0,127,251.031817
1.0,155,252.106896
2.0,221,253.6718
2.0,203,255.118696
0.0,127,255.999099
0.0,129,256.895811
0.0,129,257.793774
0.0,127,258.670587
2.0,202,260.124387
1.0,175,261.304658
1.0,156,262.342945
1.0,171,263.524664
2.0,183,264.755704
3.0,270,266.742135
0.0,127,267.572394
6.0,382,270.271359
0.0,129,271.10907
1.0,175,272.321495
1.0,176,273.552717
5.0,350,276.03497
4.0,279,278.009238
4.0,296,280.151541
0.0,129,281.051573
1.0,173,282.201373
2.0,183,283.487764
2.0,202,284.870326
0.0,127,285.71131
0.0,129,286.576416
1.0,175,287.802118
0.0,125,288.636092
1.0,155,289.736106
2.0,222,291.292651
0.0,129,292.177337
2.0,226,293.778041
4.0,299,295.890625
2.0,202,297.298479
5.0,352,299.844295
3.0,254,301.6041
4.0,277,303.53122
0.0,129,304.353972
1.0,171,305.563388
0.0,127,306.397398
3.0,272,308.356483
2.0,202,309.767923
1.0,155,310.816469
0.0,129,311.679343
4.0,299,313.86622
0.0,125,314.738034
3.0,274,316.659942
1.0,157,317.752415
2.0,203,319.124128
4.0,297,321.227283
0.0,127,322.079871
6.0,398,324.913127
4.0,301,327.073653
2.0,200,328.453082
1.0,175,329.662884
6.0,378,332.418825
0.0,129,333.323782
1.0,175,334.758934
0.0,127,335.652182
0.0,125,336.53972
2.0,224,338.158629
1.0,175,339.513204
2.0,222,341.118474
2.0,200,342.523482
0.0,127,343.422418
1.0,155,344.534179
4.0,285,346.694488
0.0,129,347.596611
1.0,175,348.844338
0.0,129,349.736743
0.0,129,350.670465
1.0,175,351.932383
4.0,299,354.171285
3.0,251,355.93117
2.0,200,357.318927
0.0,129,358.195311
2.0,200,359.66437
0.0,127,360.60251
0.0,129,361.512995
2.0,202,363.045613
0.0,127,364.164634
2.0,199,365.670003
2.0,226,367.28285
2.0,202,368.708113
0.0,127,369.58992
3.0,250,371.477491
3.0,233,373.149422
0.0,127,373.989353
3.0,248,375.809569
4.0,297,378.015811
0.0,125,379.047383
0.0,127,379.956536
2.0,221,381.519053
0.0,125,382.488703
1.0,155,383.835198
0.0,129,384.745286
0.0,125,385.658641
0.0,127,386.533156
0.0,129,387.406347
0.0,129,388.295746
0.0,129,389.170954
0.0,129,389.993653
3.0,233,391.703033
3.0,270,393.562298
0.0,127,394.414992
8.0,350,396.958632
3.0,272,398.910257
4.0,321,401.240987
0.0,127,402.182497
3.0,248,404.014045
0.0,129,404.864538
1.0,173,406.005153
0.0,127,406.850196
0.0,125,407.663738
2.0,186,409.014488
2.0,222,410.623245
0.0,129,411.530966
2.0,202,412.922466
0.0,127,413.736716
0.0,125,414.571341
2.0,188,415.916123
0.0,129,416.725533
0.0,127,417.556731
3.0,270,419.493701
0.0,127,420.345887
2.0,202,421.669925
5.0,350,424.059575
0.0,127,424.860213
1.0,155,425.948493
0.0,127,426.798408
0.0,129,427.617837
1.0,171,428.78272
2.0,218,430.263373
1.0,174,431.451466
3.0,230,432.982188
2.0,222,434.467345
2.0,198,435.79238
1.0,157,436.843574
1.0,176,437.970774
3.0,272,439.831454
2.0,224,441.354786
0.0,127,442.177449
0.0,129,442.980669
1.0,157,444.003792
3.0,232,445.551623
4.0,283,447.469408
3.0,255,449.224953
2.0,218,450.687605
2.0,204,452.084409
0.0,127,452.877241
2.0,203,454.308491
4.0,300,456.38138
0.0,129,457.188731
2.0,181,458.435853
1.0,173,459.593835
1.0,173,460.778373
3.0,254,462.514302
1.0,173,463.682184
2.0,202,465.067541
1.0,172,466.313644
2.0,225,467.875542
0.0,127,468.739084
1.0,173,469.906498
4.0,320,472.226502
2.0,223,473.79522
4.0,301,475.900479
0.0,125,476.721247
2.0,202,478.150111
1.0,173,479.339651
0.0,125,480.14119
1.0,173,481.299486
3.0,229,482.837639
2.0,226,484.476848
0.0,129,485.32979
0.0,123,486.207681
1.0,157,487.340133
0.0,127,488.152551
1.0,176,489.328097
0.0,127,490.161788
0.0,129,491.016439
0.0,127,491.821743
1.0,173,492.963066
2.0,201,494.286482
1.0,177,495.485559
2.0,206,496.969335
0.0,129,497.801862
3.0,272,499.724688
2.0,185,501.022726
2.0,201,502.393562
0.0,125,503.221678
0.0,125,504.061165
0.0,127,504.889695
3.0,252,506.618099
4.0,300,508.760336
2.0,202,510.088654
2.0,204,511.527997
0.0,127,512.373491
0.0,125,513.257303
1.0,155,514.293549
2.0,220,515.775935
0.0,125,516.528171
0.0,129,517.374429
0.0,129,518.245087
0.0,127,519.029578
0.0,129,519.86599
1.0,173,521.024868
1.0,175,522.271478
0.0,127,523.169466
2.0,220,524.658734
0.0,127,525.500368
2.0,221,527.02852
0.0,129,527.839147
1.0,153,528.868691
3.0,217,530.291625
3.0,250,531.983496
0.0,127,532.788817
0.0,127,533.587136
0.0,129,534.41588
4.0,278,536.347858
0.0,125,537.14738
0.0,127,537.977313
4.0,318,540.142012
0.0,129,540.967642
1.0,173,542.107985
2.0,207,543.555086
0.0,127,544.344433
0.0,125,545.150613
0.0,127,545.961825
1.0,175,547.122957
1.0,173,548.33166
0.0,127,549.16114
2.0,203,550.448624
1.0,155,551.432157
0.0,127,552.259309
4.0,299,554.338133
3.0,276,556.180379
0.0,127,556.998623
0.0,129,557.846115
1.0,176,558.993176
0.0,127,559.814934
3.0,251,561.530263
3.0,249,563.187907
2.0,198,564.499197
0.0,123,565.303658
0.0,123,566.126328
2.0,222,567.633521
0.0,127,568.41297
6.0,399,571.213339
1.0,169,572.402855
2.0,186,573.713205
0.0,127,574.752573
3.0,248,576.87121
1.0,173,578.594198
1.0,156,579.884458
2.0,200,581.285471
0.0,127,582.227627
0.0,129,583.124423
4.0,281,585.239445
0.0,127,586.154582
1.0,171,587.354832
3.0,255,589.245026
4.0,299,591.518066
0.0,127,592.406293
0.0,129,593.319781
1.0,172,594.550667
2.0,218,596.114738
0.0,129,597.036095
4.0,295,599.203256
0.0,129,600.060499
1.0,155,601.146553
5.0,347,603.593242
3.0,255,605.340255
0.0,127,606.193973
2.0,200,607.568797
1.0,175,608.669721
0.0,129,609.534981
0.0,125,610.328483
2.0,219,611.782264
3.0,272,613.66956
0.0,129,614.629959
0.0,127,615.561663
0.0,127,616.455669
0.0,129,617.365823
2.0,222,619.065958
0.0,129,619.950931
0.0,129,620.867575
2.0,224,622.56539
0.0,125,623.457548
1.0,173,624.717838
5.0,352,627.411638
1.0,175,628.702066
2.0,221,630.446646
0.0,127,631.360934
0.0,125,632.239333
0.0,127,633.113498
0.0,129,633.989916
3.0,232,635.663586
0.0,129,636.576192
1.0,177,637.851546
5.0,351,640.29098
1.0,171,641.427266
2.0,221,642.935303
3.0,229,644.513652
4.0,301,646.791019
2.0,182,648.296556
0.0,127,649.325193
4.0,275,651.145894
1.0,157,652.182869
1.0,172,653.330931
1.0,153,654.361315
1.0,155,655.415376
0.0,127,656.252249
1.0,153,657.280487
2.0,202,658.669156
0.0,129,659.531665
1.0,175,660.658587
2.0,200,662.005278
4.0,302,664.097832
0.0,125,664.943759
2.0,201,666.540184
0.0,127,667.410119
0.0,129,668.3533
0.0,127,669.344316
0.0,127,670.216634
0.0,127,671.137254
1.0,178,672.303576
0.0,129,673.132659
2.0,187,674.36293
0.0,129,675.188214
1.0,176,676.425173
0.0,129,677.335624
0.0,129,678.159327
0.0,129,678.965525
7.0,387,681.6296
2.0,202,683.041052
5.0,349,685.471849
0.0,127,686.27887
2.0,222,687.792804
1.0,157,688.836432
0.0,127,689.662637
0.0,125,690.45875
2.0,204,691.786001
0.0,127,692.615953
1.0,178,693.77951
0.0,125,694.599377
3.0,231,696.145924
0.0,125,696.932535
8.0,357,699.398235
0.0,127,700.247766
0.0,127,701.108595
1.0,175,702.254189
0.0,129,703.091395
0.0,127,703.926355
3.0,270,705.73696
2.0,225,707.270574
0.0,127,708.086224
1.0,172,709.248612
0.0,129,710.110922
2.0,201,711.45949
0.0,129,712.306928
0.0,129,713.123267
0.0,129,713.962258
0.0,129,714.791217
1.0,157,715.847273
2.0,184,717.109473
0.0,127,717.929911
1.0,173,719.097834
2.0,202,720.515741
3.0,256,722.24143
0.0,125,723.088838
5.0,340,725.439465
2.0,202,726.84065
3.0,248,728.628053
0.0,129,729.531121
0.0,125,730.395057
1.0,173,731.697073
1.0,177,732.95021
2.0,223,734.543358
0.0,127,735.428932
3.0,272,737.316074
1.0,157,738.373137
0.0,127,739.20711
2.0,200,740.533675
3.0,268,742.42023
1.0,175,743.590199
0.0,125,744.37374
1.0,173,745.553946
2.0,223,747.159462
2.0,222,748.648796
2.0,202,749.948461
0.0,129,750.795107
0.0,129,751.603123
2.0,200,752.959256
1.0,155,753.95025
0.0,127,754.742501
4.0,298,756.784776
0.0,127,757.578502
0.0,129,758.447414
0.0,125,759.275228
2.0,205,760.614312
3.0,252,762.39551
0.0,127,763.278968
0.0,129,764.148188
0.0,129,765.036279
0.0,127,765.884455
2.0,202,767.2859
1.0,175,768.489483
4.0,280,770.476544
0.0,127,771.346679
0.0,129,772.20734
2.0,200,773.565553
1.0,176,774.719477
4.0,299,776.886025
0.0,129,777.759013
1.0,155,778.774686
2.0,224,780.272688
4.0,317,782.469104
0.0,127,783.295995
2.0,202,784.61111
3.0,269,786.482845
0.0,127,787.313074
6.0,382,789.984463
0.0,125,790.77138
0.0,127,791.611494
1.0,170,792.706167
0.0,127,793.544526
2.0,224,795.190576
0.0,127,796.107132
2.0,226,797.871686
2.0,201,799.328166
3.0,232,801.032577
5.0,350,803.516513
6.0,377,806.235927
1.0,175,807.450596
2.0,225,808.965144
0.0,125,809.805641
