#{"t_start": 1629249968.028867, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,173,2.569799
3.0,247,4.202088
0.0,125,5.012334
5.0,347,7.416726
0.0,129,8.263443
2.0,202,9.604091
0.0,129,10.442985
2.0,184,11.679552
1.0,175,12.811052
0.0,127,13.663032
0.0,129,14.521685
2.0,183,15.825043
0.0,127,16.69113
2.0,225,18.183403
0.0,129,19.068296
5.0,299,21.198913
0.0,127,22.035707
1.0,153,23.053705
1.0,157,24.199817
0.0,127,25.077393
1.0,155,26.187483
2.0,228,27.767608
1.0,171,29.099257
3.0,251,30.909683
2.0,202,32.434233
2.0,198,33.953925
0.0,129,34.868769
5.0,344,37.546751
0.0,125,38.517906
0.0,125,39.411029
2.0,199,40.849811
1.0,170,42.13335
1.0,174,43.322012
0.0,125,44.420342
0.0,129,45.395696
0.0,123,46.482676
0.0,127,47.53758
1.0,175,49.136015
0.0,127,50.043066
0.0,125,50.882502
3.0,272,52.834064
0.0,127,53.684043
0.0,129,54.646712
1.0,173,56.08938
1.0,157,57.431966
6.0,306,59.817263
2.0,183,61.213084
0.0,129,62.263425
0.0,129,63.194643
1.0,173,64.352796
0.0,125,65.24797
0.0,123,66.192585
2.0,204,67.617903
2.0,224,69.196443
1.0,153,70.269429
0.0,127,71.131898
1.0,173,72.324939
0.0,129,73.165242
0.0,125,74.014981
2.0,200,75.463008
2.0,205,76.887095
0.0,127,77.78363
1.0,170,78.930828
1.0,173,80.115745
2.0,223,81.653817
2.0,219,83.216426
2.0,200,84.574497
0.0,125,85.415045
2.0,199,86.816253
3.0,253,88.630023
3.0,251,90.432651
3.0,269,92.306988
0.0,127,93.142157
0.0,123,94.038822
2.0,184,95.435481
0.0,127,96.330725
2.0,216,97.930074
0.0,125,98.993791
1.0,176,100.212848
0.0,125,101.155698
1.0,173,102.514448
3.0,271,104.921117
0.0,129,105.960147
0.0,129,106.908476
3.0,268,109.195442
0.0,129,110.130172
0.0,127,111.065674
1.0,173,112.364338
3.0,246,114.207861
0.0,127,115.121287
1.0,175,116.564171
0.0,129,117.632747
3.0,235,119.571786
0.0,129,120.627196
1.0,175,122.055746
0.0,129,122.968554
0.0,127,123.856091
2.0,183,125.125299
0.0,129,126.023489
0.0,129,126.966086
0.0,127,127.791254
2.0,202,129.214108
0.0,123,130.06326
1.0,175,131.267106
4.0,321,133.585311
0.0,129,134.433668
0.0,127,135.310739
0.0,125,136.170988
1.0,157,137.281082
0.0,127,138.139098
