#{"t_start": 1629249967.9100752, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,129,2.402772
5.0,307,4.433826
1.0,175,5.613498
2.0,200,6.946387
2.0,225,8.495161
2.0,203,9.837318
0.0,129,10.682407
3.0,271,12.522419
0.0,127,13.346067
0.0,127,14.189338
1.0,173,15.409818
0.0,129,16.285506
8.0,376,18.928929
4.0,280,20.95213
1.0,175,22.112581
1.0,176,23.352049
0.0,127,24.225064
0.0,127,25.105188
0.0,129,26.007282
2.0,200,27.387587
2.0,202,28.924363
4.0,318,31.28986
0.0,127,32.201108
5.0,335,34.801259
0.0,129,35.707143
0.0,127,36.719504
1.0,176,38.080685
1.0,173,39.358521
0.0,127,40.231444
3.0,250,42.139655
3.0,228,43.771966
5.0,346,46.958892
2.0,220,48.946858
3.0,252,50.873605
0.0,129,51.78949
1.0,173,52.936116
1.0,157,54.022608
1.0,155,55.292821
0.0,129,56.316513
1.0,174,57.793089
2.0,202,59.35595
2.0,203,60.851699
0.0,127,61.877241
3.0,235,63.666705
2.0,222,65.25745
0.0,129,66.213634
2.0,203,67.663618
1.0,177,68.87856
0.0,127,69.734795
1.0,173,70.98047
0.0,127,71.821939
1.0,176,73.007429
1.0,173,74.281033
0.0,129,75.132904
0.0,127,76.006516
2.0,202,77.451123
2.0,226,78.999198
0.0,127,79.871726
0.0,129,80.716813
2.0,220,82.232818
2.0,203,83.655778
4.0,280,85.647567
1.0,178,86.871184
0.0,127,87.735323
1.0,172,88.927963
0.0,127,89.805078
3.0,250,91.575161
2.0,200,92.926234
2.0,220,94.585218
0.0,127,95.502046
1.0,177,96.822051
1.0,178,98.119581
1.0,178,99.543537
0.0,127,100.426323
0.0,127,101.376195
0.0,127,102.346447
2.0,223,104.243672
1.0,173,105.765763
1.0,156,106.943614
0.0,129,107.991634
1.0,159,109.26325
2.0,224,110.990214
0.0,129,111.947189
1.0,175,113.210511
0.0,127,114.145453
1.0,154,115.270741
1.0,159,116.565911
4.0,301,119.17552
0.0,127,120.119261
2.0,221,122.023044
1.0,171,123.299569
2.0,225,124.870595
0.0,129,125.764018
0.0,123,126.652649
6.0,396,129.541815
0.0,127,130.433768
0.0,127,131.265076
1.0,173,132.478977
0.0,127,133.305904
3.0,232,134.954503
0.0,125,135.804745
0.0,127,136.696414
1.0,157,137.777187
1.0,171,138.946487
0.0,129,139.791273
0.0,129,140.632223
1.0,175,141.922523
0.0,129,142.786503
2.0,223,144.545371
1.0,175,145.83966
2.0,200,147.389529
0.0,127,148.260119
4.0,301,150.365033
1.0,177,151.589783
1.0,157,152.654567
4.0,273,154.592136
0.0,129,155.470153
1.0,157,156.551219
2.0,223,158.147131
4.0,299,160.432388
3.0,248,162.164186
1.0,175,163.335501
1.0,176,164.525707
6.0,379,167.322757
1.0,178,168.573514
0.0,127,169.442468
2.0,202,170.820532
1.0,175,172.078705
3.0,240,173.733949
1.0,153,174.759111
1.0,175,175.967865
1.0,176,177.142232
3.0,268,179.054575
2.0,200,180.496557
2.0,202,181.931289
0.0,123,182.772773
1.0,173,184.029462
0.0,127,184.889671
0.0,127,185.74996
0.0,127,186.634314
2.0,200,188.074597
0.0,127,188.943758
0.0,125,189.834816
1.0,157,190.924866
0.0,123,191.796157
0.0,129,192.655995
0.0,125,193.527072
2.0,199,194.917484
1.0,175,196.198516
1.0,155,197.270517
3.0,249,198.988127
3.0,268,200.942088
2.0,226,202.524438
2.0,182,203.901267
0.0,129,204.80474
0.0,127,205.662189
1.0,157,206.769613
0.0,127,207.632074
2.0,224,209.315352
0.0,127,210.214233
2.0,199,211.701442
0.0,129,212.649457
0.0,123,213.519794
1.0,171,214.759848
0.0,127,215.660349
1.0,178,216.957389
1.0,155,217.999402
0.0,129,218.922401
1.0,155,220.037823
2.0,201,221.52579
0.0,125,222.399567
1.0,173,223.623631
0.0,129,224.559405
0.0,129,225.514797
2.0,202,227.004479
3.0,226,228.738009
0.0,127,229.649004
3.0,247,231.420408
2.0,189,232.812802
0.0,127,233.782719
2.0,224,235.432094
3.0,214,237.380817
2.0,201,239.098635
1.0,173,240.650389
2.0,217,242.273918
1.0,155,243.523579
1.0,157,244.809538
0.0,127,245.76266
1.0,155,246.858988
0.0,125,247.786846
2.0,202,249.237479
0.0,129,250.165676
2.0,202,251.580974
1.0,156,252.681658
0.0,129,253.536549
0.0,127,254.436561
3.0,270,256.391907
4.0,317,258.741353
1.0,155,259.789033
0.0,127,260.691538
2.0,200,262.018668
3.0,252,263.821568
3.0,230,265.374234
0.0,129,266.306503
2.0,220,267.865722
0.0,125,268.663451
0.0,129,269.511985
0.0,129,270.389802
3.0,220,271.899175
1.0,171,273.062353
4.0,298,275.131482
2.0,202,276.570626
0.0,129,277.415338
0.0,129,278.322267
1.0,154,279.353706
0.0,127,280.205112
0.0,129,281.117455
2.0,224,282.659044
3.0,251,284.434808
0.0,129,285.279536
2.0,200,286.685888
5.0,371,289.40431
0.0,127,290.283758
1.0,173,291.4557
4.0,301,293.611389
1.0,151,294.631624
0.0,129,295.501622
1.0,170,296.713688
0.0,127,297.519512
0.0,125,298.367412
0.0,125,299.211724
0.0,125,300.034306
0.0,129,300.847265
0.0,125,301.672759
0.0,127,302.494931
4.0,300,304.619951
1.0,172,305.801096
0.0,127,306.63869
3.0,271,308.598443
0.0,129,309.440188
4.0,279,311.438832
0.0,125,312.269494
0.0,127,313.116616
0.0,127,314.026866
9.0,404,316.936674
0.0,127,317.808718
0.0,125,318.624319
4.0,259,320.46077
2.0,202,321.844638
4.0,299,323.939981
0.0,127,324.784551
5.0,328,327.130362
7.0,322,329.433023
0.0,129,330.324233
1.0,173,331.488962
4.0,318,333.959936
1.0,173,335.288543
4.0,301,337.537517
0.0,125,338.429118
1.0,176,339.763202
0.0,123,340.616406
1.0,173,341.798125
0.0,129,342.70048
0.0,127,343.591896
0.0,129,344.475679
2.0,202,346.008281
0.0,125,346.873653
1.0,172,348.077782
4.0,280,350.191518
1.0,153,351.285783
0.0,127,352.220759
0.0,127,353.063995
4.0,301,355.24129
1.0,173,356.440539
2.0,188,357.763983
0.0,129,358.619401
1.0,173,359.916833
0.0,129,360.863175
5.0,350,363.733982
2.0,224,365.449329
0.0,127,366.387855
1.0,173,367.568516
0.0,127,368.432189
1.0,155,369.507407
2.0,220,371.152164
2.0,200,372.555849
0.0,127,373.444595
0.0,129,374.310616
1.0,173,375.54218
3.0,248,377.387658
1.0,173,378.679774
3.0,270,380.812316
0.0,127,381.644618
0.0,129,382.669809
1.0,157,384.027547
0.0,127,384.906432
2.0,221,386.54338
2.0,202,387.975796
2.0,202,389.413931
2.0,221,391.016436
1.0,155,392.044655
1.0,175,393.165441
3.0,277,395.20999
5.0,371,397.913309
5.0,330,400.2096
0.0,127,401.11884
0.0,127,402.071338
2.0,199,403.52755
0.0,127,404.436456
1.0,175,405.546161
4.0,282,407.525891
5.0,332,410.046558
1.0,155,411.106741
3.0,248,412.863409
8.0,372,415.52669
2.0,222,417.051411
0.0,129,417.920869
3.0,255,419.74154
0.0,127,420.588747
3.0,229,422.089621
2.0,198,423.41828
0.0,125,424.200088
1.0,178,425.400701
0.0,127,426.264333
1.0,174,427.435229
1.0,158,428.482982
0.0,125,429.293888
0.0,125,430.11412
0.0,123,430.933924
0.0,127,431.74772
2.0,199,433.037845
3.0,274,434.905698
2.0,202,436.264099
9.0,422,439.18386
2.0,187,440.411718
0.0,125,441.22619
0.0,129,442.041178
3.0,248,443.732742
3.0,250,445.399866
2.0,201,446.775182
1.0,173,447.906667
0.0,127,448.757738
2.0,206,450.087483
0.0,125,450.889485
1.0,174,452.0755
2.0,202,453.412725
3.0,253,455.220671
0.0,129,456.010047
2.0,206,457.399672
1.0,173,458.592794
1.0,175,459.756155
0.0,127,460.587536
0.0,129,461.429417
8.0,352,463.904402
3.0,268,465.846406
1.0,173,467.047368
0.0,127,467.868063
0.0,125,468.680619
0.0,127,469.536452
0.0,129,470.410635
1.0,157,471.455865
0.0,125,472.344745
4.0,298,474.434535
0.0,125,475.254433
1.0,173,476.414024
0.0,127,477.243412
2.0,219,478.845957
0.0,125,479.67362
2.0,206,481.032659
2.0,224,482.547854
0.0,127,483.404144
0.0,129,484.27821
1.0,157,485.366971
0.0,129,486.260543
2.0,220,487.867143
4.0,281,489.83103
0.0,125,490.650232
4.0,299,492.681651
0.0,127,493.51038
4.0,296,495.517747
1.0,155,496.639452
2.0,186,497.905262
0.0,129,498.771888
0.0,129,499.613714
2.0,226,501.220026
2.0,200,502.580856
2.0,222,504.12924
2.0,224,505.698746
1.0,171,506.819076
0.0,123,507.631335
0.0,125,508.466186
3.0,253,510.175392
2.0,226,511.780761
1.0,153,512.816217
0.0,127,513.712265
2.0,202,515.056826
4.0,301,517.122457
0.0,127,517.922946
2.0,206,519.329601
4.0,299,521.433241
0.0,127,522.264266
0.0,125,523.181458
1.0,173,524.353701
2.0,221,525.857902
4.0,301,527.961549
9.0,429,530.899475
1.0,155,531.916022
3.0,270,533.747693
0.0,125,534.555077
0.0,129,535.373756
0.0,123,536.182583
3.0,248,537.869762
0.0,129,538.750421
2.0,222,540.187352
4.0,298,542.244903
2.0,200,543.609316
2.0,187,544.826031
3.0,229,546.410524
4.0,256,548.175061
0.0,125,548.997668
2.0,202,550.317153
3.0,252,551.991668
2.0,220,553.458627
1.0,171,554.646259
0.0,127,555.448954
1.0,176,556.577097
0.0,129,557.391091
0.0,129,558.250865
1.0,177,559.418354
1.0,173,560.579591
0.0,125,561.3795
3.0,272,563.19702
0.0,125,564.000861
3.0,251,565.733949
4.0,282,567.672978
1.0,154,568.659211
0.0,123,569.441554
1.0,169,570.531848
3.0,227,572.191586
5.0,352,574.944377
2.0,205,576.657541
0.0,129,577.78328
1.0,173,579.502407
0.0,127,580.389603
2.0,192,581.796476
3.0,247,583.621239
1.0,155,584.744496
0.0,125,585.639223
2.0,185,586.996905
0.0,127,587.855948
0.0,127,588.722457
3.0,250,590.587039
0.0,129,591.51789
2.0,198,592.961681
1.0,157,594.088988
3.0,230,595.765681
1.0,155,596.832597
3.0,269,598.806018
0.0,129,599.742369
2.0,187,600.994013
1.0,175,602.187377
0.0,125,602.989398
6.0,379,605.714183
1.0,156,606.745638
5.0,351,609.176773
0.0,129,610.021323
1.0,173,611.133252
3.0,230,612.688516
4.0,302,615.006236
1.0,152,616.066958
0.0,129,616.995721
1.0,174,618.294511
3.0,270,620.331364
0.0,129,621.226717
3.0,230,622.963836
4.0,301,625.281039
1.0,153,626.368934
0.0,129,627.261415
2.0,205,628.837529
3.0,251,630.803246
1.0,175,632.090411
1.0,173,633.328691
2.0,202,634.768625
4.0,295,636.967828
0.0,127,637.842088
5.0,329,640.099481
0.0,127,640.967299
2.0,200,642.321827
0.0,129,643.141923
2.0,201,644.504449
3.0,267,646.363366
4.0,281,648.879711
8.0,374,651.509451
2.0,204,652.902323
0.0,129,653.742294
1.0,153,654.767845
2.0,203,656.16323
0.0,127,657.028763
1.0,175,658.17237
2.0,201,659.577585
8.0,371,662.150839
2.0,202,663.501075
2.0,220,665.054186
0.0,129,666.046315
4.0,302,668.365368
0.0,125,669.331545
2.0,223,671.015091
0.0,129,671.828775
2.0,220,673.331264
1.0,153,674.294807
2.0,202,675.679521
0.0,127,676.551224
2.0,200,677.939763
0.0,129,678.763247
0.0,123,679.531091
2.0,204,680.868718
0.0,129,681.716428
0.0,127,682.563695
0.0,129,683.415897
2.0,222,684.939061
3.0,248,686.612839
1.0,155,687.615061
0.0,127,688.476476
0.0,127,689.309317
0.0,129,690.107537
1.0,155,691.106009
1.0,157,692.13484
0.0,129,692.983373
1.0,155,693.967974
3.0,266,695.777944
0.0,127,696.594932
2.0,203,697.961981
1.0,155,698.964914
1.0,176,700.139788
0.0,129,700.997682
0.0,127,701.839138
2.0,205,703.228802
8.0,374,705.796238
1.0,155,706.838459
3.0,267,708.665998
1.0,155,709.723698
3.0,230,711.255679
1.0,157,712.322062
2.0,222,713.818552
0.0,125,714.634017
1.0,171,715.767365
1.0,171,716.961401
0.0,129,717.779843
0.0,127,718.628078
1.0,178,719.830594
2.0,204,721.218552
0.0,127,722.026122
0.0,125,722.856702
3.0,250,724.600218
2.0,222,726.113159
1.0,175,727.310569
1.0,153,728.393997
0.0,127,729.273878
0.0,127,730.131409
1.0,157,731.315843
1.0,178,732.563083
3.0,268,734.525729
0.0,127,735.392058
2.0,208,736.831421
0.0,127,737.660892
2.0,220,739.165986
4.0,284,741.164346
0.0,127,741.994508
5.0,346,744.382164
0.0,127,745.228628
5.0,371,747.894148
0.0,129,748.70624
1.0,175,749.829832
0.0,127,750.640376
1.0,175,751.796588
0.0,127,752.591632
1.0,173,753.735278
2.0,226,755.268301
1.0,175,756.389587
2.0,219,757.870499
1.0,174,759.071726
0.0,129,759.898151
1.0,155,760.878446
1.0,154,761.92349
1.0,171,763.128323
0.0,129,764.0344
2.0,224,765.620794
1.0,175,766.82178
2.0,202,768.241399
0.0,127,769.054188
3.0,252,770.898834
2.0,223,772.450971
2.0,198,773.776436
0.0,127,774.561372
2.0,222,776.116606
5.0,348,778.635319
1.0,175,779.788885
0.0,129,780.624287
2.0,201,781.988193
2.0,202,783.33074
0.0,127,784.13593
1.0,175,785.283469
0.0,127,786.109742
0.0,125,786.934672
2.0,204,788.328782
0.0,127,789.138608
0.0,125,789.947007
3.0,230,791.493801
0.0,127,792.298163
5.0,350,794.860476
4.0,280,796.993642
0.0,125,797.918634
3.0,228,799.596758
6.0,383,802.392188
1.0,153,803.438164
2.0,203,804.815339
2.0,221,806.415965
0.0,125,807.252168
0.0,129,808.078048
2.0,202,809.473499
0.0,129,810.312076
0.0,127,811.117255
2.0,223,812.613997
2.0,201,813.917459
0.0,129,814.761572
2.0,203,816.147828
0.0,127,816.940572
0.0,127,817.762918
0.0,129,818.609925
5.0,349,821.070417
0.0,127,821.889179
0.0,129,822.76018
1.0,173,823.974582
1.0,157,825.046345
6.0,357,827.584016
5.0,330,829.875154
0.0,127,830.697034
2.0,200,832.056088
3.0,250,833.782392
1.0,157,834.760894
5.0,314,836.899113
1.0,173,838.068363
1.0,173,839.193595
0.0,127,840.012189
0.0,125,840.826197
0.0,129,841.660869
0.0,125,842.489275
6.0,380,845.075053
0.0,129,845.906176
0.0,127,846.76659
1.0,175,847.94195
0.0,125,848.723345
2.0,204,850.051604
0.0,125,850.863392
2.0,192,852.10666
1.0,153,853.11482
2.0,222,854.616297
0.0,129,855.503746
3.0,272,857.37871
3.0,250,859.118037
2.0,180,860.32993
8.0,374,862.870644
0.0,127,863.708537
1.0,173,864.847883
2.0,200,866.205426
1.0,157,867.26369
1.0,175,868.417464
2.0,225,869.938941
1.0,157,870.995778
0.0,125,871.831681
0.0,125,872.651309
3.0,251,874.356885
1.0,175,875.630757
0.0,127,876.680289
2.0,202,878.068522
0.0,129,879.003929
1.0,173,880.298264
1.0,174,881.539519
1.0,155,882.615706
0.0,127,883.483495
2.0,223,885.08655
5.0,329,887.578382
0.0,125,888.453647
0.0,127,889.345186
3.0,233,891.044912
2.0,202,892.570442
2.0,223,894.302022
0.0,129,895.327925
0.0,127,896.424917
2.0,201,898.206706
0.0,125,899.173135
3.0,272,901.081496
1.0,176,902.331909
3.0,269,904.215277
1.0,151,905.233841
1.0,153,906.220848
0.0,125,907.133642
1.0,175,908.351892
2.0,204,909.745923
0.0,127,910.556374
1.0,175,911.744587
3.0,250,913.490893
2.0,201,914.878821
1.0,155,915.93374
1.0,175,917.140426
3.0,266,919.092524
1.0,174,920.745476
2.0,204,922.740008
0.0,127,923.884534
3.0,251,926.580335
0.0,129,927.622231
1.0,177,928.966232
6.0,390,931.874307
1.0,155,932.949319
3.0,248,934.818986
0.0,127,935.672431
2.0,201,936.988677
2.0,224,938.464246
4.0,298,940.677163
1.0,173,941.863866
3.0,253,943.54117
2.0,201,944.898867
1.0,172,946.062607
1.0,175,947.286979
0.0,125,948.076343
3.0,252,949.752554
0.0,129,950.637986
0.0,127,951.418689
0.0,127,952.346356
3.0,253,954.129149
2.0,202,955.477966
2.0,202,956.913312
1.0,173,958.082478
1.0,177,959.255378
0.0,127,960.084121
1.0,155,961.130244
2.0,204,962.559075
0.0,129,963.397735
0.0,127,964.215122
2.0,205,965.604347
2.0,204,967.01381
0.0,129,967.869107
1.0,175,969.049609
1.0,173,970.1335
0.0,125,971.10461
4.0,282,973.50366
3.0,275,975.495124
2.0,206,977.020666
0.0,127,977.925314
2.0,206,979.587442
0.0,129,980.52017
1.0,176,981.759195
3.0,270,983.941096
3.0,233,985.532766
2.0,203,986.952488
0.0,127,987.89146
4.0,283,990.044944
1.0,157,991.059315
0.0,127,991.940851
0.0,127,992.851122
3.0,238,994.486489
0.0,127,995.323279
1.0,155,996.467126
2.0,199,997.825918
0.0,127,998.656182
0.0,125,999.495564
3.0,270,1001.429089
3.0,250,1003.122685
0.0,129,1003.998069
0.0,127,1004.815293
1.0,157,1005.938118
0.0,129,1006.787315
2.0,224,1008.464846
3.0,248,1010.174394
1.0,155,1011.206145
3.0,250,1012.948881
0.0,127,1013.818829
0.0,129,1014.686385
5.0,320,1016.839315
2.0,200,1018.193592
0.0,129,1019.026845
0.0,127,1019.934433
4.0,301,1022.053719
3.0,248,1023.753014
0.0,129,1024.613822
8.0,375,1027.235801
2.0,223,1028.739951
1.0,157,1029.831248
0.0,129,1030.698531
1.0,157,1031.740387
1.0,153,1032.723333
0.0,129,1033.54975
0.0,129,1034.445358
