#{"t_start": 1629095694.4882615, "env_id": null}
r,l,t
8,100,2.053112
16,100,2.291259
19,100,2.536422
7,100,2.761366
14,100,3.027615
6,100,3.247229
12,100,3.478281
9,100,3.697421
8,100,3.926838
18,100,4.155301
6,100,4.379366
11,100,4.604397
9,100,4.837317
7,100,5.059372
9,100,5.284623
13,100,5.50554
12,100,5.758703
10,100,5.976049
22,100,6.211704
12,100,6.431371
7,100,6.669712
12,100,6.913652
13,100,7.153855
10,100,7.390157
9,100,7.640082
16,100,7.869796
9,100,8.093156
8,100,8.323954
6,100,8.548512
12,100,8.804929
5,100,9.050199
6,100,9.274155
16,100,9.51327
9,100,9.747154
5,100,9.984686
6,100,10.23011
10,100,10.478824
10,100,10.716719
6,100,10.961224
7,100,11.291905
9,100,11.577837
18,100,11.82569
14,100,12.072218
10,100,12.350416
9,100,12.611101
12,100,12.869016
12,100,13.13352
11,100,13.374064
12,100,13.624314
17,100,13.884196
22,100,14.122632
15,100,14.342916
16,100,14.563543
15,100,14.783285
14,100,15.007092
18,100,15.248756
14,100,15.497535
13,100,15.717364
17,100,15.942031
19,100,16.156023
21,100,16.382452
26,100,16.594286
17,100,16.825266
12,100,17.044821
14,100,17.295678
7,100,17.529713
14,100,17.76318
13,100,17.984626
17,100,18.213918
7,100,18.430049
14,100,18.675671
21,100,18.914664
21,100,19.163006
9,100,19.42246
13,100,19.648432
13,100,19.882132
17,100,20.196972
16,100,20.451605
12,100,20.685025
13,100,20.913615
11,100,21.213002
14,100,21.461956
19,100,21.723636
14,100,21.959297
12,100,22.213885
11,100,22.466959
14,100,22.700407
14,100,22.93101
10,100,23.172447
15,100,23.394716
11,100,23.625785
24,100,23.846215
10,100,24.081586
12,100,24.31062
10,100,24.538594
16,100,24.75355
16,100,24.9932
25,100,25.223848
14,100,25.444299
19,100,25.660994
15,100,25.888564
14,100,26.113518
9,100,26.342176
15,100,26.560246
10,100,26.796576
8,100,27.021755
15,100,27.256727
7,100,27.481348
8,100,27.716017
13,100,27.936522
12,100,28.172563
9,100,28.396114
14,100,28.631642
14,100,28.859061
11,100,29.088615
17,100,29.315796
11,100,29.538132
11,100,29.767875
3,100,29.992284
14,100,30.216523
17,100,30.449703
15,100,30.668395
4,100,30.894434
8,100,31.112953
13,100,31.359363
15,100,31.604808
13,100,31.847891
10,100,32.075347
13,100,32.322241
12,100,32.554946
9,100,32.797966
13,100,33.034955
17,100,33.272127
11,100,33.494246
13,100,33.723852
14,100,33.940383
15,100,34.188045
10,100,34.491886
13,100,34.756528
22,100,34.977121
12,100,35.209147
17,100,35.425151
15,100,35.651571
16,100,35.881041
19,100,36.164129
11,100,36.422187
13,100,36.678885
19,100,36.91403
16,100,37.169176
21,100,37.428934
12,100,37.664996
14,100,37.880962
15,100,38.110956
15,100,38.341365
12,100,38.558964
10,100,38.780556
18,100,39.001714
17,100,39.224682
17,100,39.44984
19,100,39.667236
14,100,39.905135
15,100,40.12736
16,100,40.360351
17,100,40.579917
11,100,40.815118
15,100,41.035886
17,100,41.258013
19,100,41.477243
14,100,41.742031
10,100,41.974672
14,100,42.221996
15,100,42.457995
21,100,42.714967
11,100,42.977653
15,100,43.29868
8,100,43.560179
18,100,43.839845
7,100,44.133218
12,100,44.400981
16,100,44.673908
11,100,44.990645
10,100,45.280312
17,100,45.583145
14,100,45.901077
16,100,46.305097
13,100,46.718892
18,100,47.125116
13,100,47.528726
18,100,47.917136
14,100,48.300022
14,100,48.635802
13,100,48.940067
19,100,49.244289
15,100,49.557725
11,100,49.890507
15,100,50.19509
8,100,50.521137
21,100,50.898341
16,100,51.228119
12,100,51.536593
14,100,51.915245
17,100,52.254259
11,100,52.592699
17,100,52.949699
14,100,53.272995
9,100,53.567221
13,100,53.870314
14,100,54.190799
19,100,54.510161
15,100,54.81032
10,100,55.110474
12,100,55.408855
12,100,55.703024
16,100,55.982757
17,100,56.300458
13,100,56.607546
14,100,56.920676
12,100,57.251524
11,100,57.578194
13,100,57.915352
16,100,58.24192
18,100,58.556569
16,100,58.873014
12,100,59.193167
12,100,59.521063
13,100,59.80871
23,100,60.105903
18,100,60.393836
12,100,60.696295
14,100,60.994077
10,100,61.283282
18,100,61.581263
24,100,61.881097
19,100,62.172612
17,100,62.491554
21,100,62.790157
13,100,63.155159
9,100,63.478073
11,100,63.817705
7,100,64.210912
19,100,64.533791
13,100,64.859967
10,100,65.186996
12,100,65.520462
10,100,65.92358
15,100,66.334059
17,100,66.737799
15,100,67.147598
12,100,67.549411
10,100,67.972731
17,100,68.359413
13,100,68.72458
7,100,69.124605
13,100,69.510334
14,100,69.878472
17,100,70.26417
23,100,70.653725
13,100,71.020597
14,100,71.411698
23,100,71.755984
17,100,72.10634
15,100,72.48645
20,100,72.828765
12,100,73.176655
13,100,73.563584
22,100,73.955994
17,100,74.345684
19,100,74.71067
14,100,75.055474
12,100,75.409168
12,100,75.764529
17,100,76.123092
13,100,76.522118
9,100,76.901874
14,100,77.255291
18,100,77.606719
16,100,77.98498
17,100,78.3697
18,100,78.724659
12,100,79.085856
14,100,79.428661
23,100,79.780944
17,100,80.167046
11,100,80.553368
7,100,80.91138
18,100,81.247469
10,100,81.60128
24,100,81.969582
18,100,82.335378
10,100,82.722709
10,100,83.079825
14,100,83.417898
12,100,83.779262
13,100,84.123737
15,100,84.459676
15,100,84.82134
20,100,85.180887
14,100,85.536426
13,100,85.901572
20,100,86.270959
15,100,86.63366
14,100,86.979556
12,100,87.344892
16,100,87.748365
13,100,88.17626
18,100,88.552836
20,100,88.989763
15,100,89.430218
18,100,89.824081
11,100,90.208764
14,100,90.568513
21,100,90.93491
19,100,91.321414
16,100,91.667501
11,100,92.031814
21,100,92.392996
19,100,92.789857
17,100,93.206442
14,100,93.616008
8,100,94.005563
15,100,94.399184
11,100,94.836682
18,100,95.218626
11,100,95.633751
14,100,96.074567
16,100,96.512559
11,100,96.947697
11,100,97.399245
11,100,97.889898
15,100,98.335363
14,100,98.760633
18,100,99.223584
18,100,99.670831
12,100,100.089283
22,100,100.541909
13,100,101.018832
17,100,101.503924
15,100,101.937056
18,100,102.344974
16,100,102.763285
13,100,103.216203
16,100,103.671804
11,100,104.133857
26,100,104.555953
16,100,104.98366
18,100,105.449854
15,100,105.965966
11,100,106.487501
15,100,107.001338
13,100,107.490759
13,100,107.991431
