#{"t_start": 1629268362.6884608, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,125,2.289287
0.0,127,3.13187
2.0,202,4.500243
0.0,127,5.317098
1.0,155,6.350179
2.0,200,7.717921
3.0,250,9.414511
0.0,127,10.273817
3.0,249,11.97733
1.0,171,13.075864
0.0,129,13.895345
0.0,125,14.712267
1.0,176,15.840264
4.0,282,17.801812
0.0,125,18.598669
1.0,155,19.632091
1.0,175,20.790998
4.0,264,22.583793
0.0,129,23.460168
0.0,129,24.310695
2.0,202,25.748989
1.0,160,26.820051
2.0,202,28.136053
0.0,127,28.969577
2.0,226,30.516993
1.0,176,31.799306
1.0,175,32.938505
0.0,127,33.731382
0.0,127,34.562461
0.0,129,35.43048
2.0,204,36.861787
1.0,175,38.031711
1.0,176,39.19596
10.0,433,42.230448
2.0,205,43.680455
1.0,176,44.888359
2.0,225,46.395305
1.0,178,47.564992
1.0,173,48.712922
2.0,200,50.113051
2.0,204,51.420629
0.0,125,52.24439
2.0,222,53.788152
0.0,129,54.641221
2.0,204,55.984305
1.0,175,57.199042
0.0,127,58.029773
6.0,376,60.620662
0.0,127,61.46678
2.0,204,62.870853
2.0,204,64.244596
2.0,201,65.605197
3.0,234,67.20544
0.0,127,68.036182
0.0,129,68.880759
2.0,204,70.287955
0.0,127,71.096209
0.0,127,71.935684
3.0,252,73.681824
1.0,157,74.69689
0.0,127,75.539699
0.0,129,76.376159
0.0,127,77.232988
1.0,155,78.276346
0.0,129,79.082845
4.0,317,81.250816
2.0,202,82.566171
3.0,230,84.116987
2.0,183,85.341031
3.0,254,87.032073
3.0,252,88.7835
0.0,129,89.660024
0.0,125,90.510837
0.0,129,91.329844
0.0,129,92.176416
1.0,153,93.206947
0.0,127,94.075376
3.0,252,95.886669
3.0,248,97.574232
4.0,302,99.620067
0.0,127,100.464729
5.0,366,103.086193
0.0,125,103.903055
0.0,127,104.745385
4.0,299,106.834738
0.0,125,107.637386
0.0,129,108.487604
2.0,203,109.857529
2.0,224,111.357973
1.0,173,112.556875
0.0,129,113.409565
0.0,127,114.227393
0.0,125,115.043705
2.0,223,116.533714
0.0,127,117.367092
1.0,175,118.573807
1.0,157,119.595344
1.0,177,120.817749
2.0,200,122.143207
2.0,183,123.370831
2.0,200,124.774018
0.0,129,125.57108
1.0,173,126.729586
1.0,173,127.865748
0.0,127,128.703945
2.0,202,130.013137
1.0,154,131.057903
0.0,125,131.892016
1.0,176,133.059702
6.0,340,135.353462
0.0,129,136.194443
0.0,127,137.00256
0.0,127,137.798499
4.0,282,139.71933
1.0,173,140.868838
0.0,127,141.72201
1.0,153,142.746451
0.0,127,143.565646
2.0,200,144.818446
2.0,218,146.346276
4.0,307,148.447503
0.0,125,149.266038
1.0,173,150.414423
1.0,155,151.473746
1.0,177,152.677022
3.0,273,154.598659
1.0,173,155.698287
0.0,129,156.565529
0.0,127,157.370944
0.0,129,158.203784
0.0,127,159.08611
0.0,127,159.93576
0.0,127,160.752802
0.0,129,161.608669
5.0,343,163.953141
0.0,129,164.819656
0.0,127,165.691627
2.0,186,166.957359
2.0,206,168.309499
0.0,129,169.159232
0.0,129,170.005583
1.0,155,171.068275
0.0,129,171.895651
0.0,127,172.727871
1.0,157,173.765041
1.0,173,174.925435
0.0,125,175.698274
1.0,175,176.895141
2.0,223,178.396374
1.0,175,179.592752
5.0,350,182.059068
0.0,127,182.924285
2.0,185,184.154295
0.0,127,184.959233
6.0,337,187.234416
0.0,127,188.061827
5.0,352,190.532686
0.0,127,191.349438
0.0,125,192.172558
0.0,127,193.038515
0.0,127,193.857481
1.0,175,195.09564
3.0,250,196.756081
2.0,203,198.073532
0.0,129,198.913524
0.0,125,199.742974
1.0,176,200.944983
1.0,153,201.937772
2.0,202,203.29896
1.0,177,204.52987
2.0,220,206.115217
0.0,129,206.927069
0.0,125,207.787639
2.0,185,208.986225
2.0,184,210.237183
1.0,174,211.380166
3.0,250,213.136426
1.0,157,214.187994
2.0,220,215.692585
3.0,252,217.373769
3.0,239,219.036525
3.0,272,220.828951
0.0,127,221.663216
0.0,127,222.463772
1.0,157,223.532864
1.0,176,224.663625
3.0,248,226.414258
1.0,170,227.512221
4.0,297,229.610144
1.0,171,230.779216
7.0,416,233.702528
3.0,269,235.585233
1.0,175,236.775007
0.0,127,237.565574
9.0,380,240.244113
1.0,177,241.40637
0.0,127,242.230265
2.0,201,243.573833
1.0,170,244.705522
1.0,156,245.721461
2.0,202,247.104831
2.0,209,248.529518
0.0,127,249.356153
3.0,271,251.225695
2.0,223,252.791736
0.0,125,253.594688
5.0,352,256.045204
0.0,129,256.847594
7.0,326,259.133739
0.0,129,259.967014
3.0,232,261.539254
0.0,125,262.380435
1.0,175,263.572248
0.0,127,264.39485
5.0,344,266.766189
4.0,318,268.980966
0.0,129,269.803811
2.0,204,271.226819
1.0,173,272.367242
2.0,204,273.757351
0.0,129,274.62602
1.0,157,275.683745
0.0,127,276.50599
1.0,157,277.549583
2.0,206,278.954975
0.0,125,279.759029
1.0,171,280.869623
1.0,153,281.912608
2.0,222,283.425375
3.0,250,285.169384
1.0,173,286.267405
1.0,154,287.275992
2.0,221,288.739511
1.0,173,289.936514
0.0,129,290.767474
0.0,127,291.584908
0.0,127,292.435038
1.0,175,293.662148
1.0,173,294.831139
2.0,218,296.292469
0.0,129,297.1136
1.0,155,298.115032
0.0,125,298.924894
3.0,252,300.620432
2.0,220,302.101561
2.0,224,303.574838
3.0,250,305.302295
2.0,200,306.633517
1.0,153,307.637566
5.0,330,309.928931
0.0,129,310.803897
2.0,201,312.11764
3.0,248,313.815913
0.0,125,314.609852
0.0,127,315.442154
0.0,127,316.269032
0.0,127,317.086401
2.0,200,318.423032
0.0,129,319.256142
2.0,202,320.610898
1.0,153,321.618538
2.0,202,323.026081
0.0,127,323.853753
3.0,247,325.512935
5.0,344,327.872606
0.0,129,328.742655
1.0,178,329.935734
2.0,202,331.301997
1.0,174,332.500012
4.0,297,334.570745
2.0,226,336.117945
