#{"t_start": 1629285635.1130376, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,129,2.383075
3.0,250,4.028401
1.0,175,5.202529
2.0,202,6.56212
1.0,174,7.742666
4.0,278,9.702741
0.0,127,10.506633
3.0,250,12.175771
0.0,129,12.966499
0.0,127,13.825912
0.0,129,14.658786
0.0,125,15.495678
1.0,173,16.662262
3.0,252,18.37683
3.0,250,20.142844
1.0,176,21.33618
2.0,220,22.800789
0.0,127,23.618326
1.0,157,24.681448
1.0,173,25.885209
0.0,129,26.705752
2.0,222,28.182496
2.0,190,29.410715
0.0,127,30.246515
2.0,186,31.54234
0.0,127,32.351744
1.0,173,33.478972
3.0,245,35.092677
2.0,223,36.606064
6.0,359,39.044234
2.0,203,40.468226
0.0,127,41.312608
2.0,204,42.675098
4.0,277,44.547683
0.0,127,45.365767
0.0,127,46.196699
0.0,129,47.012224
0.0,127,47.842695
1.0,157,48.905458
2.0,184,50.155518
1.0,175,51.329432
7.0,324,53.613334
3.0,248,55.341116
2.0,200,56.670968
1.0,155,57.688771
0.0,127,58.516
3.0,272,60.428537
0.0,129,61.242928
0.0,127,62.077462
1.0,173,63.230516
0.0,125,64.027747
1.0,174,65.228633
0.0,129,66.109068
1.0,171,67.251683
0.0,129,68.108205
0.0,127,68.921553
0.0,129,69.784692
1.0,155,70.793446
0.0,123,71.597196
1.0,173,72.736742
2.0,200,74.083204
4.0,299,76.164344
3.0,230,77.741131
1.0,173,78.863356
1.0,153,79.887151
1.0,175,81.029481
2.0,198,82.357553
0.0,129,83.229985
0.0,129,84.056815
2.0,223,85.501244
0.0,129,86.329535
0.0,129,87.162837
0.0,129,87.982807
2.0,223,89.539693
0.0,129,90.404621
3.0,253,92.110573
0.0,125,92.964118
7.0,444,96.078863
0.0,129,96.924871
0.0,129,97.816151
0.0,127,98.684605
1.0,175,99.892599
1.0,175,101.105736
1.0,176,102.258726
1.0,173,103.387331
0.0,129,104.188709
0.0,129,105.070063
0.0,125,105.903229
0.0,127,106.762553
0.0,129,107.576297
0.0,125,108.356022
2.0,200,109.704021
4.0,286,111.61265
1.0,171,112.771874
1.0,175,113.936387
1.0,155,114.965676
2.0,203,116.333773
2.0,198,117.631998
0.0,129,118.495591
0.0,125,119.296863
0.0,123,120.09928
0.0,127,120.963801
0.0,127,121.774916
3.0,234,123.341103
2.0,217,124.814789
0.0,129,125.648342
1.0,156,126.64137
0.0,127,127.470694
3.0,272,129.321392
0.0,125,130.161843
1.0,153,131.161484
0.0,125,131.990123
3.0,252,133.669434
2.0,226,135.194014
1.0,171,136.376843
9.0,402,139.166581
0.0,127,139.962588
0.0,127,140.818978
0.0,129,141.668717
0.0,127,142.480684
4.0,279,144.331092
2.0,202,145.722617
1.0,153,146.725837
3.0,273,148.635493
0.0,127,149.454838
0.0,127,150.292324
1.0,175,151.446226
6.0,399,154.304673
2.0,224,155.815574
1.0,173,156.967083
1.0,173,158.132216
0.0,125,158.951444
0.0,127,159.803385
0.0,129,160.633182
0.0,127,161.436504
0.0,125,162.289661
0.0,127,163.118187
0.0,127,163.951717
0.0,125,164.790282
3.0,266,166.554455
0.0,125,167.391329
3.0,275,169.231898
3.0,239,170.915509
0.0,127,171.755129
1.0,173,172.894229
2.0,187,174.104029
1.0,171,175.253167
1.0,173,176.394831
2.0,203,177.75053
0.0,125,178.578534
3.0,271,180.423427
2.0,224,181.937073
3.0,230,183.509655
0.0,127,184.318059
1.0,157,185.389293
4.0,296,187.420095
0.0,129,188.325741
1.0,176,189.523917
3.0,252,191.18636
1.0,175,192.392843
6.0,331,194.719899
0.0,129,195.527077
8.0,475,198.879412
1.0,171,200.093393
0.0,129,200.911816
0.0,127,201.694248
1.0,157,202.70634
1.0,155,203.71819
1.0,173,204.884798
0.0,123,205.717403
0.0,127,206.535542
2.0,224,208.027477
0.0,129,208.898688
0.0,127,209.706239
4.0,299,211.794101
0.0,127,212.607727
2.0,225,214.165296
2.0,201,215.539406
0.0,129,216.363068
0.0,127,217.195241
1.0,155,218.23652
1.0,173,219.467175
1.0,171,220.58574
2.0,205,221.97404
5.0,368,224.553301
1.0,170,225.712663
1.0,175,226.837687
1.0,174,228.028803
0.0,127,228.87083
0.0,127,229.67711
1.0,155,230.710632
0.0,129,231.559528
0.0,129,232.381938
2.0,186,233.649959
4.0,251,235.363926
2.0,204,236.733341
2.0,222,238.219123
1.0,157,239.274523
0.0,127,240.100072
0.0,129,240.983103
1.0,157,241.998188
3.0,232,243.605545
2.0,221,245.093448
1.0,155,246.113134
2.0,224,247.615527
0.0,125,248.422181
0.0,125,249.243623
0.0,129,250.076447
0.0,125,250.882022
3.0,252,252.593525
3.0,231,254.12953
6.0,355,256.660102
0.0,127,257.447003
1.0,178,258.6676
0.0,127,259.53731
0.0,127,260.36271
3.0,229,261.89355
0.0,125,262.72704
0.0,127,263.555756
0.0,129,264.385061
1.0,157,265.431604
1.0,175,266.5935
1.0,178,267.800938
0.0,129,268.647668
3.0,234,270.24882
3.0,268,272.075163
2.0,199,273.392882
0.0,127,274.194004
0.0,127,275.037277
4.0,303,277.083972
0.0,125,277.914392
0.0,129,278.728278
0.0,125,279.53776
0.0,125,280.301121
2.0,208,281.703357
2.0,220,283.197566
1.0,175,284.380702
1.0,153,285.365906
1.0,173,286.522262
3.0,234,288.126513
2.0,204,289.466164
0.0,129,290.287745
0.0,127,291.121018
1.0,175,292.279039
8.0,352,294.682346
0.0,129,295.50514
1.0,174,296.653796
1.0,177,297.883635
5.0,320,300.10507
2.0,220,301.600342
0.0,127,302.394775
5.0,374,305.026065
4.0,301,307.114866
0.0,127,307.926543
3.0,273,309.78422
