#{"t_start": 1629285635.173459, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
4.0,279,3.359042
1.0,157,4.387214
0.0,129,5.234746
1.0,155,6.237222
2.0,200,7.612481
0.0,129,8.439885
0.0,127,9.284153
0.0,127,10.11975
10.0,433,13.102697
1.0,157,14.137008
2.0,201,15.536639
0.0,125,16.317445
0.0,125,17.130685
0.0,129,17.980917
0.0,127,18.789816
0.0,125,19.642934
0.0,127,20.468042
2.0,198,21.81916
0.0,127,22.613969
1.0,175,23.781981
0.0,127,24.648425
0.0,129,25.494735
0.0,127,26.325124
1.0,173,27.449108
1.0,175,28.610291
1.0,173,29.740067
0.0,129,30.552345
0.0,129,31.441282
11.0,484,34.75675
0.0,127,35.585326
0.0,125,36.366874
1.0,173,37.529791
0.0,127,38.315148
1.0,173,39.47903
0.0,127,40.306175
0.0,129,41.173663
6.0,382,43.808554
0.0,129,44.661551
3.0,250,46.357379
10.0,432,49.430668
3.0,252,51.145671
0.0,127,51.988497
0.0,129,52.796308
1.0,153,53.857953
2.0,200,55.210514
2.0,205,56.583719
1.0,175,57.748317
1.0,155,58.759281
1.0,151,59.818063
3.0,270,61.638705
1.0,152,62.660855
2.0,222,64.176125
0.0,125,65.00764
2.0,204,66.447396
0.0,125,67.270396
2.0,202,68.63678
0.0,127,69.484739
2.0,222,70.979076
4.0,278,72.893785
0.0,129,73.718025
0.0,129,74.566294
0.0,127,75.358109
0.0,125,76.201677
3.0,250,77.90839
1.0,175,79.081438
2.0,222,80.565031
3.0,249,82.237978
0.0,129,83.106373
4.0,277,84.991807
2.0,223,86.449803
0.0,123,87.250796
0.0,127,88.049276
0.0,125,88.889156
1.0,155,89.903413
1.0,157,90.988544
1.0,171,92.124203
0.0,127,92.97163
1.0,152,93.929842
0.0,127,94.768573
0.0,129,95.619733
2.0,221,97.15843
0.0,127,98.032458
3.0,252,99.807546
1.0,173,101.007367
0.0,129,101.852017
0.0,125,102.634302
0.0,129,103.448329
0.0,127,104.253816
0.0,125,105.099859
3.0,229,106.725522
0.0,127,107.516103
0.0,125,108.295537
1.0,171,109.417079
0.0,127,110.245349
0.0,125,111.014904
1.0,176,112.181824
0.0,129,113.005721
0.0,129,113.839914
0.0,125,114.649782
2.0,224,116.171873
0.0,125,116.946265
2.0,204,118.357807
2.0,203,119.744734
0.0,127,120.587874
1.0,175,121.771649
1.0,155,122.768586
2.0,200,124.117906
0.0,129,124.966456
3.0,247,126.605793
3.0,252,128.311439
0.0,127,129.122239
0.0,129,129.992285
1.0,175,131.164753
1.0,172,132.324863
3.0,231,133.870286
4.0,301,135.970993
2.0,202,137.324966
1.0,171,138.463291
3.0,274,140.318085
2.0,202,141.724086
0.0,129,142.549346
1.0,176,143.691649
0.0,127,144.462522
0.0,125,145.272823
1.0,175,146.436821
0.0,129,147.296997
5.0,308,149.476794
2.0,190,150.763909
4.0,291,152.767292
1.0,175,153.969143
8.0,329,156.272277
0.0,127,157.095894
0.0,127,157.904128
1.0,173,159.12444
2.0,220,160.612437
0.0,127,161.420223
2.0,202,162.805729
0.0,129,163.664019
1.0,172,164.857689
3.0,276,166.678523
2.0,202,168.058417
4.0,261,169.831985
3.0,232,171.473864
1.0,171,172.572495
8.0,377,175.21047
3.0,253,176.948858
