#{"t_start": 1629153020.4951065, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,155,2.716124
2.0,202,4.095937
2.0,200,5.470632
2.0,204,6.941411
2.0,200,8.303334
1.0,155,9.293597
0.0,129,10.184895
9.0,419,13.07719
2.0,217,14.65063
0.0,127,15.552302
0.0,125,16.442397
2.0,186,17.740801
1.0,155,18.826232
1.0,157,19.888259
1.0,174,21.05351
1.0,153,22.1187
1.0,174,23.400941
1.0,155,24.613765
1.0,173,25.836606
1.0,177,27.141451
2.0,223,28.750865
1.0,173,29.963924
1.0,173,31.21725
0.0,127,32.074449
0.0,129,33.010346
3.0,271,34.921545
4.0,296,37.098907
0.0,127,38.052119
1.0,157,39.220978
0.0,127,40.05167
4.0,297,42.275825
3.0,251,44.206444
2.0,202,45.744717
0.0,129,46.736856
1.0,155,47.904889
0.0,129,48.892217
2.0,204,50.327188
2.0,192,51.683357
6.0,374,54.612039
4.0,289,56.70435
0.0,127,57.62864
0.0,123,58.44872
0.0,127,59.270054
0.0,127,60.118701
0.0,125,60.96687
4.0,317,63.220305
1.0,172,64.39062
0.0,129,65.237607
3.0,230,66.812905
1.0,173,68.125271
0.0,127,69.032407
0.0,125,69.86148
9.0,422,72.991495
0.0,129,73.865715
0.0,125,74.737518
1.0,155,75.816478
1.0,157,76.959318
0.0,129,77.838654
2.0,202,79.280625
0.0,129,80.154672
2.0,203,81.565629
1.0,169,82.745687
4.0,299,84.922156
2.0,226,86.901865
1.0,153,88.036399
0.0,127,89.071329
1.0,155,90.341096
0.0,123,91.354012
3.0,250,93.608901
2.0,222,95.496126
0.0,127,96.410948
1.0,176,97.790895
2.0,200,99.376733
2.0,202,100.895707
0.0,127,101.844989
1.0,155,103.102458
1.0,176,104.576147
1.0,173,105.996415
2.0,202,107.564795
1.0,175,108.902844
0.0,127,109.970694
0.0,127,110.983544
1.0,155,112.232225
3.0,246,114.252619
2.0,224,116.236038
1.0,155,117.569195
0.0,129,118.451779
1.0,175,119.707474
5.0,342,122.594106
2.0,202,124.26553
4.0,295,126.90894
3.0,252,129.028601
0.0,129,130.087856
0.0,127,131.109559
0.0,127,132.226436
0.0,127,133.41794
2.0,202,135.269966
0.0,127,136.189952
0.0,125,137.045196
5.0,328,139.756823
3.0,252,141.578315
0.0,129,142.431533
0.0,127,143.293387
0.0,127,144.115829
5.0,366,146.658929
1.0,176,147.891252
0.0,127,148.759013
3.0,251,150.662709
0.0,129,151.515399
2.0,200,152.900363
1.0,155,153.943578
3.0,272,155.829535
3.0,266,157.792322
1.0,173,158.991147
5.0,321,161.27057
8.0,374,163.987796
0.0,125,164.814097
1.0,169,165.962398
1.0,178,167.206862
2.0,222,168.683243
4.0,302,170.856953
3.0,252,172.606619
0.0,127,173.447529
0.0,127,174.266859
1.0,157,175.325497
0.0,129,176.17914
2.0,200,177.566491
6.0,402,180.465711
4.0,321,182.814741
0.0,129,183.679427
0.0,129,184.569298
0.0,129,185.436904
0.0,125,186.291262
5.0,350,188.986198
0.0,127,189.91415
2.0,201,191.415307
0.0,127,192.26256
2.0,222,194.142606
0.0,127,195.522547
0.0,127,196.893867
3.0,268,199.457476
1.0,175,201.122966
3.0,248,203.293419
0.0,129,204.541082
0.0,125,205.587131
2.0,221,207.952016
1.0,155,209.336483
0.0,127,210.441666
6.0,378,213.876619
1.0,157,215.261479
0.0,127,216.269099
1.0,155,217.470729
1.0,155,218.715694
1.0,155,219.904598
0.0,127,220.799437
0.0,129,221.846499
1.0,155,223.079304
0.0,129,224.05898
0.0,129,225.021658
0.0,123,225.916854
2.0,225,227.585752
0.0,127,228.48951
2.0,204,229.98443
2.0,202,231.458809
2.0,203,232.836019
1.0,155,233.95355
