#{"t_start": 1629230237.6259892, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,127,2.346894
0.0,127,3.185478
2.0,200,4.485884
0.0,127,5.309896
2.0,200,6.722082
2.0,202,8.60507
4.0,297,11.134662
1.0,176,12.409046
0.0,129,13.369289
1.0,174,14.676947
0.0,127,15.623029
3.0,251,17.49084
1.0,175,18.782751
2.0,201,20.393047
1.0,153,21.647315
1.0,173,23.019353
3.0,250,25.0562
2.0,202,26.682117
0.0,127,27.645656
0.0,127,28.661044
1.0,157,29.887477
1.0,174,31.283887
1.0,177,32.688809
2.0,200,34.271814
4.0,299,36.802959
0.0,127,37.786947
3.0,254,39.838944
1.0,173,41.196392
2.0,223,43.035341
2.0,206,44.59795
2.0,224,46.277016
2.0,203,47.812718
0.0,127,48.742255
3.0,250,50.690127
0.0,129,51.593247
1.0,155,52.732504
0.0,129,53.695866
0.0,129,54.593591
0.0,123,55.570668
2.0,202,57.070704
3.0,250,58.979912
0.0,129,59.902842
2.0,223,61.571645
1.0,170,62.88241
0.0,127,63.823677
3.0,252,65.709366
0.0,127,66.656878
4.0,320,69.150324
0.0,127,70.101819
1.0,153,71.229118
0.0,125,72.148663
1.0,173,73.425848
0.0,127,74.348737
3.0,239,76.178505
1.0,172,77.435754
0.0,127,78.369718
0.0,125,79.301812
1.0,157,80.485083
0.0,129,81.463264
5.0,347,84.15446
0.0,127,85.086595
0.0,127,85.99575
3.0,250,87.891997
2.0,224,89.562964
1.0,157,90.703933
0.0,127,91.606422
0.0,127,92.532101
3.0,231,94.246313
0.0,127,95.107072
2.0,204,96.529733
5.0,344,99.425352
1.0,155,100.635088
0.0,127,101.555092
1.0,171,102.749117
3.0,218,104.235872
0.0,127,105.131786
3.0,252,106.924883
0.0,129,107.792835
3.0,268,109.752512
0.0,129,110.594404
1.0,173,111.84127
1.0,173,113.129968
1.0,173,114.644488
0.0,127,115.59575
2.0,224,117.534121
2.0,185,118.858407
1.0,152,119.892736
5.0,352,122.463866
6.0,394,125.395579
0.0,127,126.293046
0.0,127,127.109073
3.0,230,128.871462
1.0,172,130.29465
0.0,123,131.1921
0.0,125,132.058499
2.0,201,133.553004
1.0,155,134.652198
1.0,173,135.975138
1.0,173,137.233956
5.0,330,139.651703
0.0,127,140.566147
2.0,205,142.077731
0.0,127,142.968818
0.0,127,143.799511
1.0,155,144.86068
2.0,204,146.448678
0.0,125,147.262458
1.0,155,148.347848
0.0,125,149.184842
1.0,157,150.316059
0.0,129,151.237888
0.0,127,152.185561
0.0,127,153.064982
4.0,278,155.063695
0.0,125,155.941765
0.0,127,156.809165
0.0,127,157.665001
3.0,253,159.446651
0.0,127,160.327381
0.0,129,161.177835
1.0,171,162.274526
0.0,127,163.142697
2.0,200,164.616918
1.0,152,165.757206
1.0,178,167.208646
1.0,155,168.441657
1.0,175,169.950588
3.0,273,172.16297
0.0,129,173.035954
0.0,125,173.897826
1.0,173,175.135901
1.0,155,176.180542
3.0,232,177.859531
0.0,127,178.684957
0.0,129,179.572094
1.0,175,180.842834
5.0,369,183.876351
0.0,127,185.219938
1.0,175,186.463049
2.0,200,188.17834
1.0,175,189.498921
0.0,129,190.439807
0.0,129,191.345145
1.0,173,192.528494
1.0,174,193.771958
0.0,129,194.666844
1.0,178,195.985498
3.0,232,197.716729
0.0,129,198.585906
0.0,129,199.458087
3.0,272,201.427102
0.0,129,202.275787
1.0,173,203.5456
0.0,127,204.439126
7.0,328,206.789916
0.0,127,207.633314
5.0,349,210.127715
0.0,129,211.018474
2.0,183,212.259889
3.0,228,213.926916
4.0,300,216.180328
0.0,127,217.043268
2.0,203,218.499746
1.0,153,219.540309
3.0,252,221.45111
0.0,127,222.346835
2.0,224,223.956327
1.0,157,225.025936
0.0,127,225.892622
0.0,125,226.776159
0.0,125,227.637652
1.0,155,228.728383
0.0,123,229.573538
0.0,127,230.476825
0.0,129,231.327703
0.0,129,232.210861
2.0,224,233.838635
2.0,202,235.346097
0.0,129,236.169047
1.0,173,237.401104
2.0,203,238.872187
1.0,171,240.02057
0.0,129,240.935211
0.0,127,241.838837
0.0,129,242.751923
1.0,155,243.852376
0.0,129,244.725833
0.0,127,245.627414
1.0,173,246.94603
3.0,250,248.782193
2.0,204,250.316393
3.0,235,252.08474
0.0,127,253.088709
0.0,125,254.017838
1.0,155,255.105604
3.0,273,257.131708
0.0,129,258.062273
4.0,305,260.338614
3.0,230,261.966488
0.0,127,262.828486
2.0,202,264.286808
0.0,129,265.25729
0.0,127,266.176701
0.0,129,267.080402
0.0,123,267.960355
0.0,127,268.852749
3.0,248,270.646039
1.0,173,271.903862
0.0,127,272.783887
2.0,200,274.177565
1.0,153,275.267396
0.0,127,276.155771
0.0,129,277.059995
3.0,255,279.025247
5.0,331,281.488011
3.0,252,283.332518
0.0,129,284.273287
1.0,169,285.407044
0.0,129,286.274981
6.0,370,289.028816
1.0,155,290.152368
0.0,125,291.013451
2.0,206,292.529481
1.0,155,293.642705
0.0,129,294.590145
1.0,153,295.665178
0.0,129,296.598039
0.0,129,297.449286
3.0,237,299.140425
4.0,321,301.520916
0.0,129,302.455086
0.0,127,303.287008
0.0,127,304.162824
1.0,173,305.33954
0.0,127,306.208097
1.0,173,307.414909
0.0,129,308.280752
1.0,173,309.526014
0.0,129,310.414209
0.0,127,311.270419
0.0,127,312.181629
3.0,231,313.761081
0.0,127,314.6575
4.0,320,316.968773
1.0,153,318.067775
0.0,123,318.903653
1.0,157,320.030802
1.0,155,321.157656
0.0,127,322.032254
0.0,129,322.902839
1.0,155,323.980843
0.0,125,324.860718
1.0,175,326.128888
4.0,262,328.042919
1.0,176,329.261852
0.0,129,330.119454
0.0,127,331.130929
1.0,157,332.463711
0.0,129,333.344408
2.0,199,334.837217
1.0,157,335.989834
0.0,127,336.88916
2.0,223,338.60986
1.0,173,339.906306
2.0,225,341.62911
0.0,127,342.558553
1.0,176,343.854849
1.0,173,345.124404
1.0,174,346.305059
3.0,226,347.952298
1.0,175,349.223335
2.0,198,350.767811
1.0,157,351.970664
2.0,201,353.702171
1.0,153,354.876872
0.0,129,355.838982
0.0,129,356.916791
0.0,129,357.900403
0.0,127,358.977241
0.0,127,359.884382
2.0,202,361.407671
0.0,125,362.249619
4.0,299,364.808044
3.0,231,366.644828
3.0,232,368.390842
0.0,129,369.291584
2.0,224,370.939648
0.0,127,371.84563
0.0,129,372.703703
3.0,250,374.538546
0.0,125,375.368346
0.0,125,376.286759
0.0,129,377.25401
0.0,125,378.371176
0.0,127,379.327562
1.0,172,380.610156
4.0,276,382.763814
0.0,129,383.807746
2.0,202,385.275015
3.0,251,387.102362
1.0,173,388.364435
2.0,190,389.730832
4.0,315,392.114121
2.0,200,393.875829
2.0,201,395.522
0.0,129,396.391253
1.0,153,397.612966
3.0,251,399.556842
0.0,127,400.397319
0.0,129,401.342673
1.0,155,402.456216
1.0,174,403.643483
6.0,399,406.595109
2.0,200,408.006331
0.0,129,408.863895
0.0,127,409.74941
3.0,246,411.59032
1.0,177,412.896817
2.0,202,414.329201
1.0,178,415.609165
2.0,183,416.935224
3.0,270,419.092332
1.0,157,420.232012
5.0,349,422.837306
0.0,129,423.662501
1.0,176,425.025509
4.0,283,427.045713
1.0,173,428.249278
5.0,347,430.809536
0.0,125,431.657195
1.0,172,432.84442
0.0,129,433.7302
4.0,299,435.826546
