#{"t_start": 1629230237.5121758, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,123,2.418275
4.0,297,4.434941
5.0,350,7.025339
2.0,202,8.922059
2.0,200,10.519344
4.0,299,12.87799
0.0,127,13.834384
3.0,249,15.769258
1.0,157,16.898303
1.0,155,18.045567
1.0,176,19.370584
2.0,203,21.002593
3.0,248,23.013199
1.0,155,24.253248
4.0,261,26.374425
1.0,155,27.590135
0.0,127,28.598111
1.0,152,29.776818
0.0,127,30.786531
0.0,127,31.755492
0.0,123,32.680105
3.0,272,34.915748
0.0,125,35.882336
0.0,127,36.892828
3.0,246,38.856204
0.0,127,39.863024
1.0,177,41.251115
0.0,129,42.288432
1.0,152,43.471467
2.0,202,44.997744
1.0,173,46.255646
1.0,175,47.575415
3.0,270,49.681547
0.0,127,50.594713
1.0,172,51.87741
0.0,129,52.779648
0.0,127,53.733275
2.0,189,55.097066
0.0,125,56.094739
0.0,127,57.000185
3.0,229,58.709252
3.0,273,60.844525
0.0,127,61.750962
1.0,173,63.070111
3.0,231,64.808151
2.0,189,66.229707
2.0,200,67.703985
0.0,127,68.684234
0.0,129,69.609502
1.0,157,70.799099
1.0,175,72.111409
1.0,153,73.234595
0.0,127,74.180272
0.0,127,75.105083
0.0,127,76.019572
3.0,228,77.72801
1.0,155,78.910887
2.0,202,80.465004
0.0,127,81.428763
1.0,175,82.729641
0.0,127,83.654014
1.0,173,84.94096
0.0,127,85.861372
2.0,185,87.238418
1.0,157,88.397699
2.0,185,89.749149
1.0,175,91.0339
0.0,129,91.96628
2.0,202,93.45199
1.0,155,94.591223
0.0,129,95.448091
0.0,125,96.24436
0.0,127,97.237623
0.0,125,98.236886
2.0,187,99.702679
3.0,252,101.684977
0.0,125,102.510856
4.0,301,104.639663
2.0,201,106.07616
0.0,127,106.929691
0.0,125,107.749763
1.0,155,108.876301
0.0,125,109.725515
1.0,155,110.79525
2.0,204,112.239379
3.0,249,114.348271
1.0,155,115.55744
6.0,383,118.751466
1.0,175,119.941546
0.0,129,120.826819
1.0,176,122.074639
4.0,282,124.184383
2.0,204,125.601862
1.0,171,126.808701
1.0,175,128.024906
0.0,127,128.984821
0.0,129,130.051889
2.0,200,131.567261
0.0,127,132.454571
1.0,170,133.714809
1.0,153,134.798105
2.0,204,136.347887
4.0,260,138.300082
4.0,299,140.49131
0.0,127,141.383315
1.0,171,142.645942
2.0,183,143.890472
2.0,185,145.238002
1.0,171,146.529508
2.0,226,148.115691
2.0,198,149.523582
1.0,173,150.766772
2.0,222,152.493267
0.0,125,153.346607
2.0,220,154.907037
2.0,201,156.37818
1.0,175,157.575879
1.0,155,158.634069
1.0,173,159.848498
0.0,125,160.733207
6.0,400,163.545639
4.0,299,165.826795
0.0,129,166.878376
0.0,127,167.864805
0.0,129,168.862373
0.0,127,169.954292
1.0,153,171.170654
4.0,301,173.450369
0.0,129,174.338724
0.0,127,175.208823
3.0,251,176.971014
0.0,129,177.867258
2.0,183,179.16102
0.0,129,180.046306
0.0,129,180.95637
1.0,155,181.999299
0.0,127,182.952649
1.0,157,184.475221
2.0,202,186.233847
2.0,202,187.884115
4.0,296,190.248257
2.0,223,191.905766
0.0,129,192.745561
0.0,127,193.585225
1.0,173,194.88807
0.0,125,195.747047
2.0,223,197.429099
0.0,129,198.327968
0.0,127,199.183195
0.0,123,200.012639
0.0,129,200.896004
3.0,270,202.843844
2.0,223,204.472672
1.0,155,205.530392
0.0,129,206.389635
3.0,248,208.154976
2.0,223,209.687333
1.0,157,210.793068
3.0,250,212.576995
0.0,125,213.430678
5.0,351,216.069592
1.0,173,217.298561
3.0,252,219.121262
0.0,125,219.96368
0.0,125,220.829211
0.0,129,221.774477
0.0,129,222.685287
0.0,125,223.504854
5.0,351,226.098904
0.0,127,226.977407
1.0,176,228.249434
5.0,352,230.866354
3.0,274,232.854397
3.0,248,234.691422
0.0,129,235.591596
3.0,251,237.361767
1.0,157,238.494601
3.0,252,240.278141
0.0,123,241.143407
0.0,127,242.042268
1.0,171,243.277354
0.0,127,244.157397
1.0,155,245.242098
2.0,230,247.002259
4.0,282,249.131465
2.0,201,250.63514
0.0,127,251.498313
0.0,125,252.452875
0.0,129,253.468266
3.0,233,255.166578
3.0,252,257.035659
1.0,173,258.341627
1.0,175,259.607578
0.0,129,260.487072
0.0,129,261.345271
2.0,224,262.941794
1.0,175,264.184054
1.0,173,265.505459
0.0,127,266.424605
0.0,125,267.305629
3.0,246,269.144336
2.0,224,270.736103
0.0,125,271.643992
1.0,155,272.734758
1.0,173,273.909613
3.0,234,275.631331
0.0,127,276.542679
0.0,125,277.420148
0.0,129,278.36966
3.0,229,280.07612
3.0,250,281.924877
4.0,300,284.148185
1.0,157,285.210344
0.0,125,286.033578
0.0,127,286.906823
0.0,127,287.776177
1.0,173,288.984604
0.0,127,289.905195
1.0,154,290.997881
0.0,125,291.89248
2.0,185,293.253208
0.0,125,294.14461
3.0,232,295.850895
6.0,347,298.408446
4.0,276,300.367815
0.0,127,301.292852
0.0,129,302.186435
1.0,172,303.418257
0.0,127,304.292894
1.0,153,305.30054
4.0,304,307.511264
0.0,125,308.33813
2.0,183,309.693406
2.0,198,311.103751
0.0,127,312.001407
4.0,280,313.964745
4.0,282,315.985446
1.0,157,317.10358
1.0,157,318.252708
0.0,127,319.107599
1.0,173,320.366575
1.0,157,321.47198
0.0,127,322.368575
0.0,127,323.207597
